Date,Quarter,Year,Revenue,Cost,Net Income,Average Price,Total Volume,Max Price,Min Price
18-05-12,2,2012,1184,1927,-157,28.298,2297703400,38.08452225,25.77155495
02-07-12,3,2012,1262,885,-59,22.621,2348045100,32.0475769,17.6625309
01-10-12,4,2012,1585,1062,64,24.027,3266158600,28.13253593,18.90777397
02-01-13,1,2013,1458,1085,219,30.433,3265128600,32.34644318,25.03437042
01-04-13,2,2013,1813,1251,333,29.344,2869558600,28.85975647,22.81285477
01-07-13,3,2013,2016,1280,425,36.733,4584910600,51.04501724,24.27726173
01-10-13,4,2013,2585,1452,523,44.349,4423584800,57.7394371,44.64944077
02-01-14,1,2014,2502,1427,642,64.707,3465644300,71.75590515,53.32629395
01-04-14,2,2014,2910,1520,791,64.347,3196488000,67.34275055,55.9263649
01-07-14,3,2014,3203,1806,806,71.056,2757529300,78.73921204,62.52117538
01-10-14,4,2014,381,2718,701,73.501,2558037500,81.1400528,72.35360718
02-01-15,1,2015,3543,2610,512,82.326,1650476200,84.98535919,73.76821136
01-04-15,2,2015,4042,2769,719,83.909,1684802700,88.52185059,77.1652298
01-07-15,3,2015,4501,3042,896,90.205,2072958200,98.01557922,81.77761078
01-10-15,4,2015,5841,3281,1562,96.925,1385400500,108.5951691,90.60389709
04-01-16,1,2016,5382,3372,1738,110.664,1874853700,115.6980438,93.80168915
01-04-16,2,2016,6436,3702,2283,114.696,1687353500,120.0414429,108.3461304
01-07-16,3,2016,7011,3894,2627,120.823,1486238500,130.5513,113.7554626
03-10-16,4,2016,8809,4243,3568,119.535,1371272200,132.7728119,114.6121902
03-01-17,1,2017,8032,4705,3064,142.24,1132995500,142.107132,116.4153061
03-04-17,2,2017,9321,4920,3894,150.24,1040287500,154.4799042,138.8595581
03-07-17,3,2017,10328,5206,4707,162.956,1102066500,172.8497162,147.8651428
02-10-17,4,2017,12972,5620,4268,167.864,938928600,182.3334961,167.7790833
02-01-18,1,2018,11966,6517,4988,174.857,1998719700,192.3552246,151.6407471
02-04-18,2,2018,13231,7368,5106,178.489,1479595000,201.231308,154.5097961
02-07-18,3,2018,13727,7946,5137,176.898,1703472900,216.6723328,159.6899872
01-10-18,4,2018,16914,9094,6882,153.527,1760520200,161.8218536,123.5878906
02-01-19,1,2019,15077,11760,2429,166.262,1176944500,172.7102509,131.238678
01-04-19,2,2019,16886,12260,2616,182.681,1079941100,194.7261505,163.5253448
01-07-19,3,2019,17652,10467,6091,184.325,920246200,204.0903778,176.4260712
01-10-19,4,2019,21082,12224,7349,189.493,906847900,207.3081055,173.9355774
02-01-20,1,2020,17737,11844,4902,209.469,1408313300,222.3805237,145.454361
01-04-20,2,2020,18687,12724,5178,218.941,1577447000,241.3181915,153.5932617
01-07-20,3,2020,21470,13430,7846,247.526,1499271600,302.75354,229.2443085
01-10-20,4,2020,28072,15297,11219,258.193,1193880900,293.5585938,257.1377563
04-01-21,1,2021,26171,14917,9497,291.355,1216641800,293.4091797,244.7052307
01-04-21,2,2021,29077,16865,10394,317.215,1176477200,354.2866516,295.3916016
01-07-21,3,2021,29010,18566,9194,343.086,1083051100,380.725647,335.6677856
01-10-21,4,2021,33671,21213,10285,324.425,1278575500,346.2374268,305.6723633
03-01-22,1,2022,27908,17582,7465,220.664,2229525000,337.251709,185.9197998
01-04-22,2,2022,28822,18158,6687,188.331,2067941900,232.9999695,155.2569275
01-07-22,3,2022,27714,17460,4395,165.176,2225334500,182.4729614,133.8885498
03-10-22,4,2022,32165,25766,4652,146.473,2402422700,139.74617,88.5716629
03-01-23,1,2023,28645,21418,5709,203.961,1814723200,211.1334839,124.2653122
03-04-23,2,2023,31999,22607,7788,251.406,1452045100,287.6312866,206.7601929
03-07-23,3,2023,34146,20398,11583,284.301,1505699900,324.2414246,282.1721191
02-10-23,4,2023,40111,23727,14017,300.488,1280994300,356.9564514,287.2527466
02-01-24,1,2024,36455,22637,12369,469.34,1001648200,510.7822876,343.1591492
01-04-24,2,2024,39071,24224,13465,492.643,1022737800,525.890625,428.9877319
01-07-24,3,2024,40589,23239,15688,513.412,862859900,571.9786377,452.6127625
01-10-24,4,2024,48385,25020,20838,554.322,812776900,632.1700439,553.6334229
02-01-25,1,2025,,,,645.1705011,979799600,736.67,576.36
